ifInOctets11_diff,ifInDiscards11_diff,ifOutOctets11_diff,tcpInSegs_diff,tcpRetransSegs_diff,tcpEstabResets_diff,tcpOutSegs_diff,udpInDatagrams_diff,udpOutDatagrams_diff,udpNoPorts_diff,ipInReceives_diff,ipInDelivers_diff,ipOutRequests_diff,ipInDiscards_diff,ipInAddrErrors_diff,ipOutDiscards_diff,icmpInMsgs_diff,icmpOutMsgs_diff,icmpInDestUnreachs_diff,icmpOutDestUnreachs_diff,icmpInEchos_diff,icmpOutEchoReps_diff,class
1456896658,144,2152546190,34741077,17655,6921043,26976572,21831557,6809556,5350355,69030466,69029853,36722523,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1457294881,144,2152574820,34741100,17655,6921043,26976594,21831930,6809676,5350355,69030839,69030226,36722642,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1458069565,144,2152621219,34741126,17655,6921043,26976621,21832590,6809859,5350355,69031527,69030914,36722851,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1458449634,144,2152642138,34741157,17655,6921043,26976651,21832954,6809971,5350355,69031918,69031305,36722994,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1458829962,144,2152658086,34741168,17655,6921043,26976662,21833445,6810095,5350355,69032420,69031807,36723127,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1459763345,144,2152693289,34741192,17655,6921043,26976686,21834091,6810258,5350355,69033095,69032482,36723316,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1460144555,144,2152726104,34741217,17655,6921043,26976709,21834432,6810374,5350355,69033755,69033142,36723500,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1460896621,144,2152769524,34741259,17656,6921043,26976749,21835089,6810537,5350355,69034155,69033542,36723657,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1461273012,144,2152855809,34741292,17656,6921043,26976795,21835549,6810699,5350355,69034607,69033994,36723869,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1461718077,145,2152876545,34741321,17656,6921043,26976821,21836261,6810851,5350355,69035291,69034678,36724053,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1462477321,145,2152927574,34741378,17656,6921043,26976878,21836637,6810972,5350355,69035718,69035105,36724221,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1462867521,145,2152966150,34741439,17656,6921043,26976942,21837340,6811189,5350355,69036474,69035861,36724499,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1463620866,145,2153039052,34741466,17657,6921043,26976973,21837716,6811318,5350355,69036871,69036258,36724653,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1463806529,145,2153047027,34741489,17657,6921043,26976995,21837919,6811389,5350355,69037085,69036472,36724745,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1465685512,145,2153129901,34741535,17657,6921043,26977047,21839605,6811746,5350355,69038822,69038209,36725149,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
